"published_date",doi,title,authors,affiliations
"April 1st 2020, 00:00:00.000","10.33945/sami/chemm.2020.2.8","Assessment of Cr(VI) Biosorption from Aqueous Solution by Artificial Intelligence",,
"March 29th 2020, 00:00:00.000","10.5013/ijssst.a.20.01.01","Secured Offline Data Synchronization Using Speech Recognition and Artificial Intelligence","[""Jagadish M"",""L Swarna Jyothi"",""D Aradhana""]","[""VTU-RRC"",""VTU"",""BITM, Ballari""]"
"March 1st 2020, 00:00:00.000","10.1016/j.ijme.2019.100330","Artificial intelligence and sustainable development","[""Margaret A. Goralski"",""Tay Keong Tan""]",
"January 1st 2020, 00:00:00.000","10.1016/b978-0-12-816034-3.00007-9","Artificial intelligence in bioinformatics","[""Shi-Hao Feng"",""Jia-Yan Xu"",""Hong-Bin Shen""]",
"January 1st 2020, 00:00:00.000","10.1016/b978-0-12-816222-4.00021-6","Advancing to precision medicine through big data and artificial intelligence","[""Xiaoyi Raymond Gao"",""Colleen M. Cebulla"",""Matthew P. Ohr""]",
"January 1st 2020, 00:00:00.000","10.1007/978-3-030-24835-2","Multi-Objective Optimization using Artificial Intelligence Techniques","[""Seyedali Mirjalili"",""Jin Song Dong""]",
"January 1st 2020, 00:00:00.000","10.1007/978-3-030-26428-4","Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",,
"January 1st 2020, 00:00:00.000","10.1016/b978-0-12-819043-2.00011-3","Artificial intelligence–assisted detection of diabetic retinopathy on digital fundus images: concepts and applications in the National Health Service","[""Michael Kouroupis"",""Nikolaos Korfiatis"",""James Cornford""]",
"January 1st 2020, 00:00:00.000","10.1504/ijmc.2020.10017999","What drives students online self-disclosure behavior on social media? A hybrid SEM and artificial intelligence approach","[""Ibrahim Arpaci""]",
"January 1st 2020, 00:00:00.000","10.1504/ijbis.2020.10024983","Artificial Intelligence Databases: Turn On Big Data of the SMBs","[""Manivanan Pachippan"",""Prabha Dhandayudam"",""Balasubramanian Kannan""]",
"January 1st 2020, 00:00:00.000","10.4018/978-1-7998-1415-3","Handbook of Research on Artificial Intelligence Applications in the Aviation and Aerospace Industries",,
"January 1st 2020, 00:00:00.000","10.1061/(asce)co.1943-7862.0001678","Artificial Intelligence and Parametric Construction Cost Estimate Modeling: State-of-the-Art Review","[""Haytham H. Elmousalami""]","[""Project Engineer and Project Management Professional (PMP), General Petroleum Company, St. 8, Ash Sharekat, Nasr City, Cairo Governorate, Egypt; Fellow, Dept. of Energy Engineering, Technical Univ. Berlin, Campus El Gouna, Governorate 84513, Egypt.""]"
"January 1st 2020, 00:00:00.000","10.4018/978-1-7998-0182-5.ch008","Artificial Intelligence and Machine Learning Algorithms","[""Amit Kumar Tyagi"",""Poonam Chahal""]","[""MRIIRS, Faridabad, India"",""School of Computing Science and Engineering, Vellore Institute of Technology, Chennai, India""]"
"January 1st 2020, 00:00:00.000","10.4018/978-1-5225-9550-2.ch006","The Role of Artificial Intelligence Within the Scope of Digital Transformation in Enterprises","[""M. Hanefi Calp""]","[""Karadeniz Technical University, Turkey""]"
"January 1st 2020, 00:00:00.000","10.4018/978-1-7998-1464-1.ch012","Artificial Intelligence for Interface Management in Wireless Heterogeneous Networks","[""Monika Rani"",""Kiran Ahuja""]","[""DAVIET, Jalandhar, India"",""IKG PTU, Jalandhar, India""]"
"January 1st 2020, 00:00:00.000","10.4018/978-1-5225-9416-1.ch010","Artificial Intelligence Leadership","[""Mustafa Canbek""]","[""Artvin Coruh University, Turkey""]"
"January 1st 2020, 00:00:00.000","10.4018/978-1-7998-0951-7.ch034","An Artificial Intelligence-Based Vehicular System Simulator","[""Marvin T. Chan"",""Jonathan T. Chan"",""Christine Chan"",""Craig Gelowitz""]","[""University of Regina, Canada""]"
"January 1st 2020, 00:00:00.000","10.4018/978-1-5225-9034-7.ch003","Artificial Intelligence, Cloud Librarianship, and Infopreneurship Initiatives for Inclusiveness","[""Joel O. Afolayan"",""Roseline O. Ogundokun"",""Abiola G. Afolabi"",""Adekanmi A. Adegun""]","[""Michael Imoudu National Institute for Labour Studies, Nigeria"",""Landmark University, Nigeria""]"
"January 1st 2020, 00:00:00.000","10.4018/978-1-7998-1192-3.ch004","Artificial Intelligence Approach for Predicting TOC From Well Logs in Shale Reservoirs","[""Md. Shokor A. Rahaman"",""Pandian Vasant""]","[""Universiti Teknologi PETRONAS, Malaysia""]"
"January 1st 2020, 00:00:00.000","10.1007/978-3-030-25271-7","Understanding Artificial Intelligence","[""Ralf T. Kreutzer"",""Marie Sirrenberg""]",
